customer_id;number_of_orders; ingresos;date_most_recent
1;7;332641;21/01/2021
2;7;204772;3/03/2021
3;7;286591;11/12/2020
4;7;337587;29/01/2021
5;7;69396;12/01/2021
6;7;142951;11/02/2021
7;1;358700;4/12/2020
8;1;109123;4/12/2020
9;7;259521;14/01/2021
10;7;309844;23/12/2020
11;7;196343;15/02/2021
12;1;307414;5/12/2020
13;7;243283;23/02/2021
14;7;359662;12/01/2021
15;7;231495;21/12/2020
16;7;180979;24/12/2020
17;7;319467;4/02/2021
18;7;262682;6/01/2021
19;7;352456;12/02/2021
20;7;257451;30/12/2020
21;7;144157;24/02/2021
22;7;135492;15/12/2020
23;7;331221;21/02/2021
24;7;338464;27/01/2021
25;7;323000;12/02/2021
26;7;374464;12/03/2021
27;7;312652;15/02/2021
28;7;187937;31/12/2020
29;1;170485;7/12/2020
30;7;370569;7/01/2021
31;7;106190;8/01/2021
32;7;162148;9/01/2021
33;7;141182;16/03/2021
34;7;111541;19/12/2020
35;7;368619;28/02/2021
36;7;366802;23/02/2021
37;7;284612;13/01/2021
38;7;124445;8/01/2021
39;7;76304;2/03/2021
40;7;64983;23/12/2020
41;1;205801;8/12/2020
42;7;109583;3/02/2021
43;1;133423;8/12/2020
44;7;35375;31/12/2020
45;7;85993;3/02/2021
46;7;336166;14/03/2021
47;7;260873;28/12/2020
48;7;292055;16/01/2021
49;7;59581;25/01/2021
50;7;59385;17/12/2020
51;7;147188;9/01/2021
52;1;164949;9/12/2020
53;1;203056;9/12/2020
54;7;265016;11/01/2021
55;7;151612;2/02/2021
56;7;266679;16/01/2021
57;7;308089;23/12/2020
58;7;311477;27/02/2021
59;7;166461;16/01/2021
60;7;180995;5/03/2021
61;7;133435;5/01/2021
62;7;166239;24/02/2021
63;7;369448;3/03/2021
64;7;39996;3/01/2021
65;7;158052;12/03/2021
66;7;365395;4/02/2021
67;7;35600;25/01/2021
68;7;261524;26/01/2021
69;7;281639;24/12/2020
70;7;195705;11/12/2020
71;1;373730;9/12/2020
72;7;135597;23/02/2021
73;7;160849;23/01/2021
74;1;139890;9/12/2020
75;7;60659;26/01/2021
76;7;215129;19/12/2020
77;7;40914;9/03/2021
78;1;324068;10/12/2020
79;7;90804;2/01/2021
80;7;355343;6/01/2021
81;7;378288;8/03/2021
82;7;66514;15/12/2020
83;7;285896;17/02/2021
84;7;274841;27/12/2020
85;7;45890;29/12/2020
86;7;282815;4/01/2021
87;1;216287;10/12/2020
88;7;265868;24/03/2021
89;7;97128;19/12/2020
90;1;330667;10/12/2020
91;7;238690;26/01/2021
92;7;354926;21/02/2021
93;1;150761;10/12/2020
94;7;210403;27/02/2021
95;7;81219;9/01/2021
96;1;97137;10/12/2020
97;7;112975;22/01/2021
98;7;378174;14/01/2021
99;7;207708;6/03/2021
100;1;342041;10/12/2020
101;7;93010;7/01/2021
102;7;334546;17/02/2021
103;7;122530;11/02/2021
104;7;43296;22/12/2020
105;7;369518;12/02/2021
106;1;198271;10/12/2020
107;7;342435;26/02/2021
108;7;305315;12/01/2021
109;7;342300;18/02/2021
110;7;105907;8/03/2021
111;7;224938;13/03/2021
112;6;36655;12/03/2021
113;6;179828;22/01/2021
114;1;256443;11/12/2020
115;6;204877;24/02/2021
116;6;193666;19/02/2021
117;6;288015;20/01/2021
118;6;65191;16/01/2021
119;6;329242;27/02/2021
120;6;227911;19/01/2021
121;6;375890;22/01/2021
122;6;174314;18/03/2021
123;6;344557;14/02/2021
124;6;261498;25/01/2021
125;6;99814;11/03/2021
126;6;322657;22/01/2021
127;6;132757;4/02/2021
128;6;365486;27/01/2021
129;6;118125;12/12/2020
130;6;257710;9/12/2020
131;6;240062;9/02/2021
132;6;145990;7/01/2021
133;6;67948;1/02/2021
134;6;121831;26/01/2021
135;6;87698;30/01/2021
136;1;382691;12/12/2020
137;6;356148;20/03/2021
138;6;297092;15/02/2021
139;6;310337;5/01/2021
140;1;400547;12/12/2020
141;6;82380;8/01/2021
142;6;109538;6/03/2021
143;6;346492;19/02/2021
144;6;110036;7/01/2021
145;6;37273;20/03/2021
146;6;103663;30/12/2020
147;1;140919;12/12/2020
148;1;204780;12/12/2020
149;1;63856;12/12/2020
150;6;201543;9/01/2021
151;6;72791;25/02/2021
152;6;142142;14/01/2021
153;6;155166;26/02/2021
154;6;43250;23/02/2021
155;6;200357;14/12/2020
156;6;129483;16/03/2021
157;6;247514;18/01/2021
158;6;125381;4/01/2021
159;6;147319;6/01/2021
160;6;205564;27/01/2021
161;1;366352;12/12/2020
162;6;249227;26/12/2020
163;6;237672;9/02/2021
164;6;90175;17/01/2021
165;1;315449;13/12/2020
166;1;253681;13/12/2020
167;1;210179;13/12/2020
168;6;189843;8/03/2021
169;6;219912;27/01/2021
170;6;328962;24/02/2021
171;6;93576;22/01/2021
172;6;140530;2/02/2021
173;6;295060;18/01/2021
174;6;262845;19/12/2020
175;6;77990;10/12/2020
176;6;218824;1/03/2021
177;6;340386;1/02/2021
178;6;314736;4/01/2021
179;6;356684;29/12/2020
180;6;373697;19/01/2021
181;6;258657;10/01/2021
182;6;191503;25/01/2021
183;6;375212;31/12/2020
184;6;309791;24/12/2020
185;6;278508;25/02/2021
186;6;306809;19/03/2021
187;1;294293;14/12/2020
188;6;102383;2/02/2021
189;6;189414;3/03/2021
190;6;217458;4/02/2021
191;1;368946;14/12/2020
192;6;135949;5/02/2021
193;1;305616;14/12/2020
194;6;312552;29/01/2021
195;6;111229;16/02/2021
196;1;362965;14/12/2020
197;6;166328;25/02/2021
198;6;198257;24/03/2021
199;6;236184;27/12/2020
200;1;402116;14/12/2020
201;6;129626;28/12/2020
